_id;title;published_at;timestamp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed50d1ce1048f0a0b6bb;More Encouraging Signs for <b>Remdesivir</b> as COVID-19 Treatment;2020-04-17T20:52:53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed50d1ce1048f0a0b6ba;COVID-19 Patients Recover Quickly After Getting;2020-04-17T21:19:44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed50d1ce1048f0a0b6b9;TSX Ends On Upbeat Note Amid Optimism About Covid-19 Treatment;2020-04-17T21:47:24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed50d1ce1048f0a0b6b8;Experimental anti-viral drug offers hope against coronavirus :: WRAL.com;2020-04-17T22:20:48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed50d1ce1048f0a0b6b7;Drug UNC researcher has worked with shows promising results in COVID-19 tests :: WRAL.com;2020-04-17T23:22:07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed50d1ce1048f0a0b6b6;Experimental virus drug <b>remdesivir</b> effective in...;2020-04-18T01:00:41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed50d1ce1048f0a0b6b5;Ebola drugs shows promise against COVID-19;2020-04-18T01:18:18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed50d1ce1048f0a0b6b4;Gilead Sciences: Gauging The Potential Of <b>Remdesivir</b> (NASDAQ:GILD);2020-04-18T01:34:28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed50d1ce1048f0a0b6b3;Antiviral drug <b>remdesivir</b> shows promise in trial on monkeys with coronavirus;2020-04-18T03:20:18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed50d1ce1048f0a0b6b2;Optimism for Gilead's drug <b>Remdesivir</b> in treating coronavirus patients may be too premature;2020-04-18T03:58:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed50d1ce1048f0a0b6b1;Covid-19 cure: The story of antiviral medicine <b>remdesivir</b>;2020-04-18T07:15:37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed50d1ce1048f0a0b6b0;Gileads COVID-19 Drug <b>Remdesivir</b> Sees Promising Results in US Trial;2020-04-18T12:30:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed50d1ce1048f0a0b6af;Clinical trial for <b>Remdesivir</b> happening at Emory University Hospital;2020-04-19T04:04:57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed50d1ce1048f0a0b6ae;Antiviral drug <b>remdesivir</b> prevents COVID-19 progression in monkeys;2020-04-19T11:08:57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed50d1ce1048f0a0b6ad;Explained News The Indian Express;2020-04-19T18:50:58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
